id,name
1,"Ministry of Energy, Northern Development and Mines"
2,Ministry of Francophone Affairs
3,"Ministry of Children, Community and Social Services"
4,"Ministry of Labour, Training and Skills Development"
5,"Ministry of Economic Development, Job Creation and Trade"
6,Ministry for Seniors and Accessibility
7,"Ministry of Northern Development, Mines, Natural Resources and Forestry"
8,Ministry of Indigenous Affairs
9,"Ministry of Heritage, Sport, Tourism and Culture Industries"
10,Ministry of Transportation
